"filename","transmitter_id","tag_id","transmitter_deployment_id","tagging_project_name","species_common_name","species_scientific_name","CAAB_species_id","WORMS_species_aphia_id","animal_sex","detection_datetime","receiver_deployment_longitude","receiver_deployment_latitude","receiver_project_name","installation_name","station_name","receiver_name","receiver_id","receiver_deployment_id","receiver_depth","purchasing_organisation","receiver_status","receiver_deployment_datetime","receiver_recovery_datetime","receiver_recovery_longitude","receiver_recovery_latitude","transmitter_sensor_type","transmitter_sensor_value","transmitter_sensor_unit","transmitter_sensor_slope","transmitter_sensor_intercept","transmitter_type","transmitter_serial_number","transmitter_estimated_battery_life","transmitter_status","transmitter_deployment_longitude","transmitter_deployment_latitude","transmitter_deployment_datetime","transmitter_dual_sensor","placement","transmitter_deployment_locality","transmitter_deployment_comments","embargo_date","transmitter_recovery_datetime","transmitter_recovery_latitude","transmitter_recovery_longitude","measurement","FDA_QC","Velocity_QC","Distance_QC","DetectionDistribution_QC","DistanceRelease_QC","ReleaseDate_QC","ReleaseLocation_QC","Detection_QC","ocean_mld_0"
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-10 18:43:20,146.99101,-18.41768,"Townsville Reefs","Kelso Reef","Kelso 2","VR2W-111012",100577437,105147751,NA,"James Cook University","RECOVERED",2013-02-17 02:30:00,2013-09-24 07:37:41,146.99101,-18.41768,"PRESSURE",75,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,45.338
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-15 18:47:29,147.09874,-18.68502,"Townsville Reefs","Lodestone Reef","Lodestone 5","VR2W-114284",100577451,100618998,NA,"James Cook University","RECOVERED",2013-02-18 04:51:11,2013-09-26 01:15:36,147.09874,-18.68502,"PRESSURE",29,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",1,1,1,1,1,1,1,1,31.752
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-15 18:49:36,147.09874,-18.68502,"Townsville Reefs","Lodestone Reef","Lodestone 5","VR2W-114284",100577451,100618998,NA,"James Cook University","RECOVERED",2013-02-18 04:51:11,2013-09-26 01:15:36,147.09874,-18.68502,"PRESSURE",55,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",1,1,1,1,1,1,1,1,31.752
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-17 21:06:55,146.6596,-18.38078,"Townsville Reefs","Bramble Reef","Bramble 1","VR2W-113956",100577375,105111782,NA,"James Cook University","RECOVERED",2013-03-31 00:59:57,2013-09-23 22:15:36,146.65961,-18.38078,"PRESSURE",67,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,21.797
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-18 11:08:06,146.6596,-18.38078,"Townsville Reefs","Bramble Reef","Bramble 1","VR2W-113956",100577375,105111782,NA,"James Cook University","RECOVERED",2013-03-31 00:59:57,2013-09-23 22:15:36,146.65961,-18.38078,"PRESSURE",55,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,24.993
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-18 21:35:36,146.6596,-18.38078,"Townsville Reefs","Bramble Reef","Bramble 1","VR2W-113956",100577375,105111782,NA,"James Cook University","RECOVERED",2013-03-31 00:59:57,2013-09-23 22:15:36,146.65961,-18.38078,"PRESSURE",71,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,24.993
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-08-21 07:24:27,146.67407,-18.42293,"Townsville Reefs","Bramble Reef","Bramble 2","VR2W-113957",100577377,105111785,NA,"James Cook University","RECOVERED",2013-03-31 03:30:02,2013-09-23 23:10:00,146.67407,-18.42293,"PRESSURE",43,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,31.779
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-09-05 02:00:22,146.88568,-18.48117,"Townsville Reefs","Rib Reef","Rib 2","VR2W-113955",100577463,105147782,NA,"James Cook University","RECOVERED",2013-02-16 05:30:00,2013-09-24 04:06:19,146.88568,-18.48117,"PRESSURE",105,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,45.445
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-09-05 02:07:00,146.88568,-18.48117,"Townsville Reefs","Rib Reef","Rib 2","VR2W-113955",100577463,105147782,NA,"James Cook University","RECOVERED",2013-02-16 05:30:00,2013-09-24 04:06:19,146.88568,-18.48117,"PRESSURE",106,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,45.445
"A69-9002-13807_69918686_69918684","A69-9002-13807",69918686,69918684,"Townsville Reefs","Bull Shark","Carcharhinus leucas",37018021,105792,"FEMALE",2013-09-06 17:33:04,146.88568,-18.48117,"Townsville Reefs","Rib Reef","Rib 2","VR2W-113955",100577463,105147782,NA,"James Cook University","RECOVERED",2013-02-16 05:30:00,2013-09-24 04:06:19,146.88568,-18.48117,"PRESSURE",72,"ADC",0.3032,-1.2129,"V16AP",1148123,NA,"CURRENT",147.08707,-18.68761,2013-08-06 01:37:16,FALSE,"INTERNAL","Lodestone","",2016-08-06 01:37:16,NA,NA,NA,"FORK LENGTH = 235 cm",2,1,1,1,1,1,1,2,45.556
